계약년월.1,건축년도,주차대수,범죄율,건물연식,대규모점포_거리,버스정류장_거리,지하철역_거리,학교_거리,유치원_거리,병원_거리,주택구매력지수,RIR,LIR,area,price
2012-04-01,2012.0,221.0,2.590409939,4.0,0.056426107,0.113171643,0.231107338,0.126888369,0.367897484,0.175817914,51.74848305,7.84,3.57,85.0,66200.0
2012-05-01,2012.0,221.0,2.590409939,4.0,0.056426107,0.113171643,0.231107338,0.126888369,0.367897484,0.175817914,52.02838198,8.12,3.7,85.0,64300.0
2013-05-01,2012.0,221.0,2.590409939,4.0,0.056426107,0.113171643,0.231107338,0.126888369,0.367897484,0.175817914,62.21453914,7.52,3.69,85.0,53166.66666666666
2013-06-01,2012.0,221.0,2.590409939,4.0,0.056426107,0.113171643,0.231107338,0.126888369,0.367897484,0.175817914,62.62567522,7.26,3.64,85.0,52500.0
2013-08-01,2012.0,221.0,2.590409939,4.0,0.056426107,0.113171643,0.231107338,0.126888369,0.367897484,0.175817914,65.00143854,6.73,3.36,85.0,53000.0
2013-10-01,2012.0,221.0,2.590409939,4.0,0.056426107,0.113171643,0.231107338,0.126888369,0.367897484,0.175817914,64.42806746,6.49,3.26,85.0,57500.0
2013-11-01,2012.0,221.0,2.590409939,4.0,0.056426107,0.113171643,0.231107338,0.126888369,0.367897484,0.175817914,64.61520207,6.41,3.14,85.0,59000.0
2013-12-01,2012.0,221.0,2.590409939,4.0,0.056426107,0.113171643,0.231107338,0.126888369,0.367897484,0.175817914,64.76702018,6.82,3.13,85.0,53900.0
2014-02-01,2012.0,221.0,2.590409939,4.0,0.056426107,0.113171643,0.231107338,0.126888369,0.367897484,0.175817914,66.22744518,6.51,2.7,85.0,58000.0
2014-08-01,2012.0,221.0,2.590409939,4.0,0.056426107,0.113171643,0.231107338,0.126888369,0.367897484,0.175817914,67.88268517,7.38,2.86,85.0,56500.0
2015-01-01,2012.0,221.0,2.590409939,4.0,0.056426107,0.113171643,0.231107338,0.126888369,0.367897484,0.175817914,68.54552893,6.69,2.74,85.0,55000.0
