,아파트코드,년도,월,주택구매력지수,RIR,LIR,계약년월
0,58.99284183,2012,1,51.48282092,8.32,3.55,201201
1,58.91086085,2012,2,51.82781038,7.61,3.37,201202
2,58.76469769,2012,3,52.13940522,8.08,3.63,201203
3,58.5096233,2012,4,51.74848305,7.84,3.57,201204
4,58.35600632,2012,5,52.02838198,8.12,3.7,201205
5,58.17687304,2012,6,52.78029882,7.98,3.78,201206
6,57.86441333,2012,7,55.7842963,7.89,3.71,201207
7,57.59317138,2012,8,57.57557457,7.75,3.8,201208
8,57.22113791,2012,9,58.35695812,7.42,3.75,201209
9,56.87406189,2012,10,58.86305733,7.32,3.67,201210
10,56.64915516,2012,11,59.33669661,7.57,3.78,201211
11,56.44195781,2012,12,59.7696802,7.61,3.77,201212
12,56.23075147,2013,1,60.99396575,7.2,3.33,201301
13,56.08357499,2013,2,61.69306939,7.43,3.63,201302
14,55.93945012,2013,3,62.31462492,7.13,3.54,201303
15,55.86844635,2013,4,62.00872398,7.38,3.75,201304
16,55.83813247,2013,5,62.21453914,7.52,3.69,201305
17,55.72180203,2013,6,62.62567522,7.26,3.64,201306
18,55.53718088,2013,7,64.7547203,6.51,3.2,201307
19,55.37759093,2013,8,65.00143854,6.73,3.36,201308
20,55.34933903,2013,9,64.90099505,6.78,3.13,201309
21,55.40128383,2013,10,64.42806746,6.49,3.26,201310
22,55.40687692,2013,11,64.61520207,6.41,3.14,201311
23,55.40565381,2013,12,64.76702018,6.82,3.13,201312
24,55.42374865,2014,1,66.23246572,6.38,2.64,201401
25,55.49462826,2014,2,66.22744518,6.51,2.7,201402
26,55.62430822,2014,3,65.65857163,6.31,2.72,201403
27,55.66916268,2014,4,63.57817084,6.97,2.76,201404
28,55.65127903,2014,5,64.28419853,7.18,2.93,201405
29,55.59636353,2014,6,64.4968285,7.35,2.95,201406
30,55.59286684,2014,7,67.96976474,7.14,2.84,201407
31,55.60955971,2014,8,67.88268517,7.38,2.86,201408
32,55.78188738,2014,9,67.42842068,7.29,2.8,201409
33,55.94474614,2014,10,65.71148459,7.35,2.85,201410
34,56.00139606,2014,11,66.05711079,6.96,2.83,201411
35,56.01027618,2014,12,65.88275433,6.82,2.81,201412
36,56.05764469,2015,1,68.54552893,6.69,2.74,201501
37,56.16534846,2015,2,68.47375376,6.62,2.76,201502
38,56.43217118,2015,3,69.80385815,6.49,2.84,201503
39,56.74176139,2015,4,68.0971218,6.15,2.69,201504
40,56.96256231,2015,5,66.30027414,6.57,2.83,201505
41,57.24440691,2015,6,65.78916925,6.84,2.88,201506
42,57.51203643,2015,7,68.14575364,6.76,2.93,201507
43,57.82868201,2015,8,67.24877981,6.67,2.74,201508
44,58.25222176,2015,9,66.84202047,6.78,2.83,201509
45,58.54023423,2015,10,65.30855885,6.77,2.83,201510
46,58.9379804,2015,11,63.66082376,7.08,2.8,201511
47,59.12495497,2015,12,63.15730878,7.2,2.99,201512
48,59.19185941,2016,1,62.88633235,7.25,2.88,201601
49,59.27910937,2016,2,63.66920628,7,2.93,201602
50,59.32116741,2016,3,63.60382401,7.01,3.02,201603
51,59.39141291,2016,4,61.78553798,6.79,3.01,201604
52,59.55723814,2016,5,61.67715614,6.75,2.87,201605
53,59.794862,2016,6,61.71585154,6.8,2.98,201606
54,60.11985176,2016,7,63.22991644,6.97,3.04,201607
55,60.4566482,2016,8,62.08258035,7.04,3.06,201608
56,60.71996482,2016,9,60.22238992,7.56,3.24,201609
57,61.15561919,2016,10,57.08210592,7.44,3.14,201610
58,61.55939639,2016,11,55.53607161,7.64,3.44,201611
59,61.62047849,2016,12,54.94691069,7.85,3.58,201612
60,61.63781385,2017,1,56.61309133,8.5,3.75,201701
61,61.66146115,2017,2,56.3358196,8.04,3.5,201702
62,61.7231289,2017,3,56.04806294,7.48,3.45,201703
63,61.80802,2017,4,55.72238195,7.19,3.32,201704
64,61.94386048,2017,5,55.13683799,7.22,3.28,201705
65,62.47238513,2017,6,54.01512115,7.7,3.39,201706
66,63.0089139,2017,7,53.56659507,7.99,3.47,201707
67,63.67088143,2017,8,52.00970183,8.22,3.5,201708
68,63.76596636,2017,9,51.9888739,8.08,3.36,201709
69,64.05046913,2017,10,50.54472166,8.06,3.56,201710
70,64.44741378,2017,11,49.24979295,8.22,3.56,201711
71,64.87332716,2017,12,48.2620949,8.46,3.72,201712
72,65.60204334,2018,1,46.64789866,8.3,3.61,201801
73,66.24875585,2018,2,45.93240796,8.32,3.52,201802
74,67.07962985,2018,3,44.83139235,8.3,3.67,201803
75,67.62421298,2018,4,43.17600921,8.13,3.53,201804
76,67.89348851,2018,5,42.68286548,7.73,3.45,201805
77,68.15774774,2018,6,42.65975214,7.67,3.39,201806
78,68.51792633,2018,7,44.75002262,7.49,3.38,201807
79,69.31804877,2018,8,43.79961765,7.56,3.44,201808
80,71.97632454,2018,9,41.3969517,7.39,3.3,201809
81,73.29956405,2018,10,40.16848153,7.72,3.5,201810
82,73.58916537,2018,11,40.13408535,7.82,3.61,201811
83,73.66912432,2018,12,40.6411406,7.85,3.68,201812
84,73.6590426,2019,1,42.42005815,7.78,3.56,201901
85,73.59136754,2019,2,42.65733909,7.73,3.67,201902
86,73.46697051,2019,3,43.40537354,8.06,3.59,201903
87,73.36098098,2019,4,43.2518533,7.73,3.36,201904
88,73.3162967,2019,5,43.26341879,7.37,3.49,201905
89,73.2605073,2019,6,43.58133006,7.76,3.55,201906
90,73.53135208,2019,7,44.25868378,7.89,3.77,201907
91,73.8275588,2019,8,44.67830171,8.19,3.86,201908
92,74.1579299,2019,9,43.99009185,8.27,3.98,201909
93,74.5871031,2019,10,43.61720959,8.42,4,201910
94,75.00680677,2019,11,43.57489822,7.79,3.5,201911
95,75.80974503,2019,12,42.73141282,6.56,3.02,201912
96,76.31483207,2020,1,45.02155472,6.15,2.95,202001
97,76.70785174,2020,2,44.85966838,6.39,3.12,202002
98,77.26931115,2020,3,44.85262757,6.57,3.19,202003
99,77.388339,2020,4,45.99023256,8,3.9,202004
100,77.38762845,2020,5,46.23625704,8.24,4,202005
101,77.78833566,2020,6,46.07925755,8.27,4.15,202006
102,79.45188796,2020,7,45.56587522,8.51,4.32,202007
103,81.08311273,2020,8,46.13438187,8.51,4.45,202008
104,82.70131047,2020,9,45.98958879,8.98,4.44,202009
105,83.31719394,2020,10,44.83058454,8.77,4.44,202010
106,84.59961134,2020,11,43.78740581,8.61,4.46,202011
107,85.71320465,2020,12,43.09980663,8.67,4.49,202012
108,87.08703746,2021,1,42.19221847,8.47,4.47,202101
109,88.48002409,2021,2,41.98051723,8.8,4.33,202102
110,89.65831226,2021,3,41.34736028,8.94,4.35,202103
111,90.51179734,2021,4,40.70046483,8.62,4.33,202104
112,91.42379358,2021,5,40.37189229,8.45,4.48,202105
113,92.94097387,2021,6,39.56076158,8.41,4.41,202106
114,94.13270871,2021,7,43.16816644,8.62,4.45,202107
115,95.6326422,2021,8,42.0067714,8.7,4.6,202108
116,97.2516517,2021,9,40.99353647,8.88,4.63,202109
117,98.26923885,2021,10,37.76913433,8.9,4.78,202110
118,99.30982442,2021,11,36.71019046,8.42,4.57,202111
119,99.76750998,2021,12,36.2390661,9.4,4.92,202112
120,100,2022,1,36.93631834,7.44,3.77,202201
121,100.0920081,2022,2,36.73587978,13.74,1.6,202202
122,100.1466631,2022,3,36.81273334,,,202203
123,100.2562984,2022,4,,,,202204
124,100.4689667,2022,5,,,,202205
125,100.6032851,2022,6,,,,202206
126,100.6381353,2022,7,,,,202207
